catalog_id,table_name,table_type,source_system,etl_pipeline,business_description,update_strategy,linked_tables,key_measures
66,Fact_Sales,FACT,CSV:Sales_Export + SQLite:OLTP,FLATFILE_TO_DW_SALES,"Captures each individual sales transaction. The grain is one row per order line item. It connects customers, products, dates, and campaigns to quantify business performance.",APPEND (new records daily),"Dim_Customer, Dim_Product, Dim_Date, Dim_Campaign",quantity|Source: Sales_Export.quantity|Number of units sold in a single transaction line.||unit_price|Source: Dim_Product.price|The listed selling price of the product at time of sale.||gross_revenue|unit_price × quantity|Total revenue before any deductions. Reflects the full value of the sale.||discount_amount|price × quantity × discount_percent / 100|Total monetary discount applied to the order. Higher discounts reduce revenue.||tax_amount|gross_revenue × tax_rate / 100|Government-mandated tax collected on the sale. Passed on to authorities.||net_revenue|gross_revenue − discount_amount − tax_amount|Actual revenue received by the business after deductions.||margin_amt|gross_revenue − (cost_price × quantity)|Profit generated from the sale. Measures how much the business earns above product cost.
67,Dim_Customer,DIMENSION,SQLite:OLTP (Customers table),OLTP_TO_DW_CUSTOMER,"Conformed dimension describing the customer entity. Contains all demographic, behavioural, and loyalty attributes needed for customer segmentation and analytics.",SCD Type 1 (overwrite on change),Fact_Sales (via customer_sk),loyalty_score|Scale: 0–100|A numeric score assigned to each customer based on purchase frequency and spend. Higher = more loyal.||customer_segment|Bronze / Silver / Gold / Platinum|Marketing tier derived from loyalty_score. Platinum = highest value customers.
68,Dim_Product,DIMENSION,SQLite:OLTP (Products table),OLTP_TO_DW_PRODUCT,"Describes every sellable product. Includes pricing, cost, supplier information, and warehouse location for inventory analytics and margin reporting.",SCD Type 1 (overwrite on change),Fact_Sales (via product_sk),price|Source: Products.price (REAL)|The retail selling price of the product in USD.||cost_price|Source: Products.cost_price (REAL)|The cost paid to the supplier to acquire the product.||margin_pct|(price − cost_price) / price × 100|Percentage of the selling price that is profit. A margin of 40% means 40 cents of every dollar is profit.
69,Dim_Date,DIMENSION,System-generated (date series),DATE_DIM_LOAD,"Standard calendar dimension generated from a date series. Supports time-based aggregation at day, week, month, quarter, and year granularity.",Pre-populated (static until 2030),Fact_Sales (via date_sk),"year|INTEGER|Calendar year of the transaction (e.g. 2024).||quarter|INTEGER (1–4)|The fiscal quarter: Q1=Jan-Mar, Q2=Apr-Jun, Q3=Jul-Sep, Q4=Oct-Dec.||month|INTEGER (1–12)|Month number. Used to roll up daily data to monthly reports.||day_of_week|TEXT (e.g. Monday)|Day name. Used to identify weekday vs weekend patterns.||is_weekend|BOOLEAN (0 or 1)|Flag showing if the transaction occurred on a weekend. Useful for retail trend comparisons."
70,Dim_Campaign,DIMENSION,JSON:API (marketing_campaigns),API_TO_DW_CAMPAIGN,"Conformed dimension tracking all marketing campaigns. Enables attribution of sales to specific campaigns, channels, and spending budgets.",SCD Type 1 (JSON batch load),Fact_Sales (via campaign_sk),"budget|Source: marketing_campaigns.budget_usd (REAL)|Total USD amount allocated to the campaign.||channel|Source: marketing_campaigns.channel (TEXT)|The medium used: Email, Social Media, TV, etc.||roi_pct|attributed_revenue / budget × 100|Return on Investment %. A value of 150 means the campaign generated 1.5x its cost."
71,Fact_Inventory,FACT,CSV:Inventory_Snapshot,FLATFILE_TO_DW_INVENTORY,Daily snapshot of inventory levels across all stores and products. Used to monitor stock health.,APPEND (daily snapshots),"Dim_Product, Dim_Store, Dim_Date, Dim_Supplier",quantity_on_hand|Source: Inventory_Snapshot.qty_on_hand|Units currently physically in the store.||total_inventory_value|quantity_on_hand × unit_cost|Total capital tied up in current inventory.
72,Dim_Store,DIMENSION,SQLite:OLTP (Stores),OLTP_TO_DW_STORE,Physical retail locations where sales and inventory are tracked.,SCD Type 1,"Fact_Sales, Fact_Inventory",floor_space_sqft|Source: Stores.floor_space_sqft|Square footage of the retail location.
73,Dim_Employee,DIMENSION,SQLite:OLTP (Employees),OLTP_TO_DW_EMPLOYEE,Staff members working at stores or corporate offices.,SCD Type 1,Fact_Sales,
74,Dim_Supplier,DIMENSION,SQLite:OLTP (Suppliers),OLTP_TO_DW_SUPPLIER,Vendors who supply products for inventory.,SCD Type 1,"Fact_Inventory, Dim_Product",rating|Source: Suppliers.rating|Supplier quality and reliability score (1-100).
75,Dim_Promotion,DIMENSION,SQLite:OLTP,OLTP_TO_DW_PROMO,Discount codes and promotional events applied at checkout.,SCD Type 1,Fact_Sales,discount_pct|Source: Promotions.discount|Percentage amount taken off the transaction.
76,Dim_Geography,DIMENSION,SQLite:OLTP,OLTP_TO_DW_GEO,Geographic regions for territory mapping.,SCD Type 1,Dim_Store,
