product_sk,source_product_id,product_name,category,sub_category,price,cost_price,supplier_id,warehouse_location,is_active,launch_date
1,20000,Customizable system-worthy firmware,Books,Fiction,213.6,189.8,39,WH-B-36,1,2018-01-26
2,20001,Organic executive hardware,Books,Apparel,491.75,223.83,14,WH-C-81,1,2019-09-24
3,20002,Managed stable projection,Books,Apparel,97.11,36.58,11,WH-C-16,0,2019-08-18
4,20003,Streamlined tangible superstructure,Clothing,Mobile,442.42,15.5,24,WH-B-48,0,2016-07-24
5,20004,Customizable responsive initiative,Clothing,Kitchen,324.9,207.33,31,WH-A-42,1,2023-12-31
6,20005,Implemented cohesive extranet,Home,Educational,26.56,55.0,43,WH-B-72,1,2019-09-03
7,20006,Vision-oriented well-modulated process improvement,Home,Fiction,267.15,98.85,50,WH-C-92,1,2017-04-07
8,20007,Multi-channeled cohesive process improvement,Toys,Educational,362.49,76.7,35,WH-A-96,0,2023-07-14
9,20008,Automated dynamic access,Home,Apparel,112.48,239.88,32,WH-A-23,0,2021-04-04
10,20009,Programmable heuristic migration,Clothing,Kitchen,307.22,220.27,12,WH-A-81,0,2021-12-03
11,20010,Polarized 24hour time-frame,Electronics,Fiction,129.93,69.29,38,WH-A-92,0,2020-06-10
12,20011,Networked grid-enabled analyzer,Toys,Educational,264.15,26.34,29,WH-A-24,1,2018-02-11
13,20012,Horizontal static hub,Home,Fiction,317.59,123.54,9,WH-A-74,0,2022-07-27
14,20013,Triple-buffered regional info-mediaries,Books,Educational,197.38,166.13,18,WH-C-14,1,2016-05-02
15,20014,Stand-alone multi-tasking info-mediaries,Electronics,Educational,96.02,117.01,45,WH-A-57,0,2017-10-28
16,20015,Visionary asymmetric core,Electronics,Apparel,99.08,43.02,49,WH-C-79,1,2019-06-02
17,20016,Multi-tiered value-added matrices,Home,Fiction,46.93,79.28,35,WH-C-19,1,2024-07-10
18,20017,Customer-focused explicit core,Clothing,Fiction,429.29,137.34,35,WH-C-40,1,2022-01-17
19,20018,Centralized multi-state intranet,Toys,Kitchen,89.17,101.31,44,WH-A-74,0,2018-09-03
20,20019,Quality-focused 24/7 intranet,Clothing,Educational,305.77,212.75,18,WH-B-1,0,2017-02-14
21,20020,Organic attitude-oriented hardware,Electronics,Apparel,130.78,225.76,9,WH-C-64,1,2020-04-10
22,20021,Assimilated explicit middleware,Clothing,Fiction,476.11,236.72,10,WH-A-17,1,2018-05-10
23,20022,Decentralized fresh-thinking support,Toys,Mobile,278.51,47.45,43,WH-A-34,1,2020-02-08
24,20023,Devolved bottom-line architecture,Books,Fiction,257.9,144.39,5,WH-C-27,1,2020-02-13
25,20024,Switchable static open system,Clothing,Kitchen,322.34,101.61,26,WH-A-26,0,2021-06-26
26,20025,Realigned coherent solution,Books,Fiction,167.16,117.75,14,WH-A-27,0,2022-05-04
27,20026,Universal non-volatile process improvement,Books,Kitchen,391.82,183.79,50,WH-C-45,1,2017-12-04
28,20027,Synergistic dedicated info-mediaries,Home,Fiction,104.5,154.96,36,WH-A-74,1,2019-07-06
29,20028,Digitized zero-defect framework,Electronics,Fiction,484.03,40.57,49,WH-C-20,0,2024-08-20
30,20029,Innovative heuristic initiative,Toys,Educational,238.61,166.74,45,WH-A-78,0,2022-09-10
31,20030,Mandatory asynchronous superstructure,Toys,Educational,61.21,228.75,45,WH-A-80,1,2017-07-17
32,20031,Open-source 4thgeneration workforce,Clothing,Kitchen,463.49,187.96,3,WH-A-38,0,2022-05-02
33,20032,Inverse foreground secured line,Books,Mobile,333.57,116.56,35,WH-C-39,0,2017-05-29
34,20033,Progressive interactive standardization,Electronics,Mobile,149.38,198.51,49,WH-B-81,1,2021-04-02
35,20034,Synchronized value-added architecture,Clothing,Kitchen,302.2,97.02,49,WH-C-25,0,2023-08-26
36,20035,Organized content-based flexibility,Electronics,Kitchen,360.68,144.37,26,WH-A-100,0,2019-12-25
37,20036,Self-enabling contextually-based service-desk,Toys,Mobile,79.52,51.74,22,WH-B-71,0,2021-08-30
38,20037,Right-sized mission-critical workforce,Clothing,Mobile,137.09,23.36,4,WH-A-4,0,2016-07-22
39,20038,Fundamental system-worthy extranet,Home,Fiction,89.36,61.55,31,WH-B-8,0,2016-12-12
40,20039,Persistent 3rdgeneration analyzer,Toys,Educational,432.36,10.48,41,WH-A-17,1,2021-08-11
41,20040,User-friendly responsive project,Home,Apparel,476.93,43.86,50,WH-C-81,1,2016-10-26
42,20041,Ameliorated tangible concept,Electronics,Kitchen,38.74,9.13,4,WH-B-64,1,2020-09-17
43,20042,Proactive bi-directional archive,Home,Fiction,41.79,113.49,50,WH-B-48,1,2018-09-03
44,20043,Implemented coherent function,Electronics,Kitchen,420.02,66.52,18,WH-A-15,0,2018-09-26
45,20044,Implemented context-sensitive utilization,Electronics,Kitchen,23.06,228.31,30,WH-B-71,0,2024-03-30
46,20045,Programmable real-time frame,Toys,Kitchen,217.66,15.44,37,WH-C-13,0,2018-10-06
47,20046,Digitized clear-thinking hardware,Clothing,Fiction,24.94,181.35,50,WH-B-91,0,2020-03-12
48,20047,Vision-oriented web-enabled firmware,Toys,Educational,59.82,18.2,20,WH-A-43,1,2019-06-14
49,20048,Organic high-level initiative,Toys,Apparel,107.75,103.15,7,WH-C-26,1,2021-10-30
50,20049,Pre-emptive high-level challenge,Books,Fiction,341.42,114.47,29,WH-B-77,0,2023-02-07
51,20050,Reactive mobile frame,Home,Kitchen,499.88,201.9,8,WH-A-78,1,2017-05-02
52,20051,Secured holistic protocol,Toys,Kitchen,48.68,148.36,22,WH-A-18,0,2019-08-17
53,20052,De-engineered tertiary data-warehouse,Home,Educational,213.25,29.54,20,WH-B-81,1,2021-10-31
54,20053,Face-to-face impactful methodology,Books,Educational,336.6,35.46,5,WH-A-3,0,2017-07-08
55,20054,Customer-focused mobile core,Books,Apparel,291.34,82.19,7,WH-C-9,0,2019-12-01
56,20055,Versatile systematic implementation,Books,Apparel,326.83,151.49,15,WH-B-78,0,2024-05-22
57,20056,Object-based homogeneous support,Clothing,Educational,299.26,172.86,48,WH-B-49,1,2020-10-02
58,20057,Multi-lateral eco-centric model,Electronics,Kitchen,115.98,75.23,47,WH-B-62,1,2021-03-06
59,20058,Advanced needs-based productivity,Toys,Kitchen,113.36,173.78,22,WH-C-76,1,2017-02-03
60,20059,Extended optimal utilization,Electronics,Mobile,358.63,228.21,39,WH-B-85,1,2024-07-12
61,20060,Up-sized empowering capability,Books,Kitchen,61.79,105.63,25,WH-A-85,1,2019-06-25
62,20061,Self-enabling homogeneous groupware,Electronics,Fiction,472.42,200.8,3,WH-B-88,1,2019-10-15
63,20062,Team-oriented bottom-line Internet solution,Clothing,Mobile,50.92,113.89,16,WH-C-69,0,2016-07-13
64,20063,Profit-focused web-enabled firmware,Electronics,Fiction,464.76,224.07,43,WH-C-18,0,2022-06-06
65,20064,Synergized 5thgeneration Graphic Interface,Books,Educational,486.53,96.58,18,WH-A-70,0,2017-12-19
66,20065,Multi-tiered optimal groupware,Toys,Educational,166.9,168.31,23,WH-A-25,1,2019-05-29
67,20066,Profit-focused didactic paradigm,Electronics,Mobile,467.73,130.17,16,WH-C-76,1,2019-10-26
68,20067,Distributed hybrid flexibility,Books,Fiction,83.71,182.92,41,WH-C-86,0,2021-06-13
69,20068,Object-based scalable instruction set,Home,Mobile,298.53,61.19,1,WH-B-12,1,2021-01-03
70,20069,Streamlined bandwidth-monitored help-desk,Electronics,Educational,450.8,162.37,29,WH-B-37,0,2020-06-12
71,20070,User-centric motivating interface,Home,Educational,183.48,195.86,6,WH-C-85,0,2020-07-22
72,20071,Versatile homogeneous system engine,Books,Educational,353.99,74.34,17,WH-B-50,0,2024-05-26
73,20072,Automated next generation conglomeration,Home,Educational,260.73,42.16,33,WH-A-20,0,2019-01-29
74,20073,Customizable neutral capability,Home,Fiction,382.42,207.25,27,WH-B-70,0,2018-07-06
75,20074,Implemented demand-driven paradigm,Home,Fiction,206.06,175.69,11,WH-C-6,1,2017-05-22
76,20075,Public-key national process improvement,Clothing,Fiction,228.14,146.06,22,WH-A-80,0,2024-03-20
77,20076,Open-source multi-tasking circuit,Electronics,Fiction,449.07,248.58,11,WH-B-85,0,2016-05-27
78,20077,Total encompassing paradigm,Toys,Mobile,124.0,121.4,31,WH-A-44,1,2017-02-13
79,20078,Diverse national hub,Books,Fiction,56.25,86.45,15,WH-C-3,1,2018-07-22
80,20079,Robust mobile data-warehouse,Clothing,Apparel,71.04,28.85,45,WH-C-5,0,2024-07-19
81,20080,Vision-oriented zero tolerance intranet,Books,Educational,207.01,20.48,12,WH-C-62,1,2021-07-17
82,20081,Face-to-face dynamic functionalities,Books,Fiction,290.88,138.92,48,WH-C-70,0,2018-12-17
83,20082,User-centric disintermediate standardization,Electronics,Apparel,49.01,71.36,8,WH-A-29,1,2020-05-06
84,20083,Balanced composite circuit,Home,Fiction,216.87,167.48,3,WH-A-90,1,2022-10-17
85,20084,Proactive secondary challenge,Home,Fiction,196.77,81.53,27,WH-A-42,0,2019-08-15
86,20085,Synergistic actuating product,Electronics,Mobile,310.71,181.98,30,WH-A-8,1,2022-02-14
87,20086,Persevering systematic alliance,Electronics,Apparel,65.56,121.25,16,WH-C-94,1,2023-10-10
88,20087,Diverse context-sensitive task-force,Clothing,Educational,164.05,105.64,13,WH-C-17,1,2024-07-16
89,20088,Horizontal regional forecast,Books,Mobile,195.7,6.88,21,WH-C-84,1,2023-08-06
90,20089,Upgradable disintermediate help-desk,Clothing,Mobile,153.73,97.2,32,WH-C-36,1,2020-09-28
91,20090,Inverse fresh-thinking functionalities,Toys,Educational,34.5,198.35,50,WH-A-2,1,2018-04-29
92,20091,Automated executive model,Toys,Educational,176.56,223.65,11,WH-B-40,0,2018-05-18
93,20092,Devolved directional data-warehouse,Toys,Kitchen,128.83,196.65,13,WH-B-49,1,2022-08-05
